,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_rec_yds_per_rec
129,128,LAR,Stetson Bennett,QB,25,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,http://www.sports-reference.com/cfb/players/stetson-bennett-1.html,42.0,601.0,923.0,65.1,8429.0,66.0,7.2,21.0,2.3,9.1,9.54,14.0,200.7,160.9,141.0,530.0,3.8,14.0,12.6,0.0,0.0,1.0,0.0,141.0,530.0,3.8,15.0,
132,131,CIN,Charlie Jones,WR,24,2024,0,0,0,3,3,19,0,0,0,0,0,2,13,0,8,69,0,,,,Purdue,http://www.sports-reference.com/cfb/players/charlie-jones-7.html,49.0,,,,,,,,,,,,,,11.0,49.0,4.5,0.0,1.0,149.0,2079.0,18.0,42.4,160.0,2128.0,13.3,18.0,14.0
134,133,CHI,Tyler Scott,WR,21,2024,0,0,0,2,2,28,0,0,0,0,0,7,41,0,18,173,0,1,,,Cincinnati,http://www.sports-reference.com/cfb/players/tyler-scott-3.html,35.0,,,,,,,,,,,,,,1.0,20.0,20.0,0.0,0.6,87.0,1439.0,14.0,41.1,88.0,1459.0,16.6,14.0,16.5
136,135,LVR,Aidan O'Connell,QB,25,2024,0,0,1,10,10,20,367,586,3830,20,11,38,41,2,0,0,0,,,,Purdue,http://www.sports-reference.com/cfb/players/aidan-oconnell-1.html,33.0,826.0,1238.0,66.7,9219.0,65.0,5.3,30.0,2.4,7.4,7.41,11.2,279.4,141.8,95.0,-274.0,-2.9,2.0,-8.3,0.0,0.0,0.0,0.0,95.0,-274.0,-2.9,2.0,
140,139,ARI,Clayton Tune,QB,24,2024,0,0,0,0,0,13,14,23,70,0,2,15,26,1,0,0,0,,,,Houston,http://www.sports-reference.com/cfb/players/clayton-tune-1.html,47.0,956.0,1498.0,63.8,11996.0,104.0,6.9,41.0,2.7,8.0,8.16,12.5,255.2,148.5,412.0,1251.0,3.0,15.0,26.6,1.0,21.0,0.0,0.4,413.0,1272.0,3.1,15.0,21.0
141,140,CLE,Dorian Thompson-Robinson,QB,23,2024,0,0,0,2,2,15,121,230,880,1,10,35,187,0,0,0,0,,,,UCLA,http://www.sports-reference.com/cfb/players/dorian-thompson-robinson-1.html,50.0,860.0,1359.0,63.3,10710.0,88.0,6.5,36.0,2.6,7.9,7.98,12.5,214.2,145.6,471.0,1826.0,3.9,28.0,36.5,0.0,0.0,0.0,0.0,471.0,1826.0,3.9,28.0,
144,143,NYJ,Israel Abanikanda,RB,20,2023,0,0,0,1,1,6,0,0,0,0,0,22,70,0,7,43,0,,,,Pittsburgh,http://www.sports-reference.com/cfb/players/israel-abanikanda-1.html,31.0,,,,,,,,,,,,,,390.0,2177.0,5.6,28.0,70.2,38.0,354.0,3.0,11.4,428.0,2531.0,5.9,31.0,9.3
148,147,TEN,Josh Whyle,TE,23,2024,0,0,0,3,3,28,0,0,0,0,0,0,0,0,37,342,2,3,,,Cincinnati,http://www.sports-reference.com/cfb/players/josh-whyle-1.html,53.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,88.0,1062.0,15.0,20.0,88.0,1062.0,12.1,15.0,12.1
150,149,GNB,Sean Clifford,QB,25,2023,0,0,0,0,0,2,1,1,37,0,0,3,-2,0,0,0,0,,,,Penn St.,http://www.sports-reference.com/cfb/players/sean-clifford-1.html,51.0,833.0,1356.0,61.4,10661.0,86.0,6.3,31.0,2.3,7.9,8.1,12.8,209.0,143.8,388.0,1073.0,2.8,15.0,21.0,2.0,24.0,0.0,0.5,390.0,1097.0,2.8,15.0,12.0
151,150,BUF,Justin Shorter,WR,23,2024,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,http://www.sports-reference.com/cfb/players/justin-shorter-1.html,48.0,,,,,,,,,,,,,,1.0,9.0,9.0,0.0,0.2,110.0,1552.0,8.0,32.3,111.0,1561.0,14.1,8.0,14.1
160,159,GNB,Dontayvion Wicks,WR,22,2024,0,0,0,10,10,32,1,1,14,0,0,1,1,0,78,996,9,,,,Virginia,http://www.sports-reference.com/cfb/players/dontayvion-wicks-1.html,30.0,1.0,3.0,33.3,18.0,0.0,0.0,0.0,0.0,6.0,6.0,18.0,0.6,83.7,0.0,0.0,,0.0,0.0,90.0,1694.0,12.0,56.5,90.0,1694.0,18.8,12.0,18.8
163,162,IND,Will Mallory,TE,24,2024,0,0,0,2,2,22,0,0,0,0,0,0,0,0,22,236,0,,,,Miami (FL),http://www.sports-reference.com/cfb/players/will-mallory-1.html,58.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,115.0,1544.0,14.0,26.6,115.0,1544.0,13.4,14.0,13.4
164,163,CIN,Chase Brown,RB,23,2024,0,0,0,13,13,28,0,0,0,0,0,273,1169,7,68,516,5,2,,,Illinois,http://www.sports-reference.com/cfb/players/chase-brown-3.html,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,676.0,3558.0,5.3,18.0,72.6,58.0,521.0,3.0,10.6,734.0,4079.0,5.6,21.0,9.0
165,164,MIN,Jaren Hall,QB,25,2023,0,0,0,1,1,3,13,20,168,0,1,6,14,0,0,0,0,,,,BYU,http://www.sports-reference.com/cfb/players/jaren-hall-1.html,31.0,468.0,718.0,65.2,6174.0,52.0,7.2,11.0,1.5,8.6,9.36,13.2,199.2,158.2,181.0,800.0,4.4,9.0,25.8,4.0,41.0,1.0,1.3,185.0,841.0,4.5,10.0,10.3
172,171,TAM,Payne Durham,TE,23,2024,0,0,0,2,2,29,0,0,0,0,0,0,0,0,16,173,2,,,,Purdue,http://www.sports-reference.com/cfb/players/payne-durham-1.html,45.0,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,0.1,126.0,1275.0,21.0,28.3,127.0,1279.0,10.1,21.0,10.1
173,172,NYG,Eric Gray,RB,23,2024,0,0,0,1,1,30,0,0,0,0,0,31,79,0,16,104,0,,,,Oklahoma,http://www.sports-reference.com/cfb/players/eric-gray-2.html,47.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,50.0,0.0,-22.5,0.0,0.0,-50.0,549.0,3089.0,5.6,21.0,65.7,99.0,827.0,5.0,17.6,648.0,3916.0,6.0,26.0,8.4
176,175,LAR,Davis Allen,TE,22,2024,0,0,0,1,1,30,0,0,0,0,0,0,0,0,16,134,1,1,,,Clemson,http://www.sports-reference.com/cfb/players/davis-allen-1.html,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,88.0,951.0,12.0,17.6,88.0,951.0,10.8,12.0,10.8
177,176,IND,Evan Hull,RB,22,2024,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,6,0,,,,Northwestern,http://www.sports-reference.com/cfb/players/evan-hull-2.html,38.0,,,,,,,,,,,,,,488.0,2417.0,5.0,18.0,63.6,94.0,851.0,4.0,22.4,582.0,3268.0,5.6,22.0,9.1
178,177,LAR,Puka Nacua,WR,22,2024,0,1,1,23,23,28,0,0,0,0,0,23,135,1,184,2476,9,,,,BYU,http://www.sports-reference.com/cfb/players/puka-nacua-1.html,32.0,,,,,,,,,,,,,,39.0,357.0,9.2,5.0,11.2,107.0,1749.0,14.0,54.7,146.0,2106.0,14.4,19.0,16.3
186,185,JAX,Parker Washington,WR,21,2024,0,0,0,5,5,26,0,0,0,0,0,0,0,0,48,522,5,,,,Penn St.,http://www.sports-reference.com/cfb/players/parker-washington-1.html,32.0,,,,,,,,,,,,,,4.0,20.0,5.0,0.0,0.6,146.0,1920.0,12.0,60.0,150.0,1940.0,12.9,12.0,13.2
188,187,NWE,Kayshon Boutte,WR,21,2024,0,0,1,5,5,20,0,0,0,0,0,0,0,0,45,608,3,,,,LSU,http://www.sports-reference.com/cfb/players/kayshon-boutte-1.html,27.0,,,,,,,,,,,,,,1.0,41.0,41.0,0.0,1.5,131.0,1781.0,16.0,66.0,132.0,1822.0,13.8,16.0,13.6
189,188,PHI,Tanner McKee,QB,23,2024,0,0,0,1,1,2,30,45,323,4,0,5,-1,0,0,0,0,,,,Stanford,http://www.sports-reference.com/cfb/players/tanner-mckee-1.html,23.0,473.0,748.0,63.2,5336.0,28.0,3.7,15.0,2.0,7.1,6.98,11.3,232.0,131.5,135.0,-90.0,-0.7,6.0,-3.9,0.0,0.0,0.0,0.0,135.0,-90.0,-0.7,6.0,
192,191,TAM,Trey Palmer,WR,22,2024,0,0,0,6,6,32,0,0,0,0,0,3,22,0,51,557,4,,,,Nebraska,http://www.sports-reference.com/cfb/players/trey-palmer-1.html,40.0,,,,,,,,,,,,,,7.0,75.0,10.7,0.0,1.9,112.0,1501.0,12.0,37.5,119.0,1576.0,13.2,12.0,13.4
194,193,WAS,Chris Rodriguez,RB,22,2024,0,0,0,3,3,22,0,0,0,0,0,86,420,4,3,24,0,2,,,Kentucky,http://www.sports-reference.com/cfb/players/christopher-rodriguez-jr-1.html,45.0,,,,,,,,,,,,,,592.0,3644.0,6.2,32.0,81.0,20.0,116.0,3.0,2.6,612.0,3760.0,6.1,35.0,5.8
196,195,NOR,A.T. Perry,WR,23,2023,0,0,0,2,2,10,0,0,0,0,0,0,0,0,12,246,4,,,,Wake Forest,http://www.sports-reference.com/cfb/players/at-perry-1.html,43.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,171.0,2662.0,28.0,61.9,171.0,2662.0,15.6,28.0,15.6
198,197,MIA,Elijah Higgins,WR,22,2024,0,0,0,4,,28,0,0,0,0,0,0,0,0,34,335,3,1,,,Stanford,http://www.sports-reference.com/cfb/players/elijah-higgins-1.html,39.0,,,,,,,,,,,,,,4.0,48.0,12.0,0.0,1.2,119.0,1380.0,6.0,35.4,123.0,1428.0,11.6,6.0,11.6
206,205,HOU,Xavier Hutchinson,WR,23,2024,0,0,0,2,2,32,0,0,0,0,0,5,49,0,20,207,0,3,,,Iowa St.,http://www.sports-reference.com/cfb/players/xavier-hutchinson-1.html,37.0,1.0,2.0,50.0,49.0,1.0,50.0,0.0,0.0,24.5,34.5,49.0,1.3,420.8,2.0,18.0,9.0,0.0,0.5,254.0,2929.0,15.0,79.2,256.0,2947.0,11.5,15.0,11.5
211,210,NWE,Demario Douglas,WR,22,2024,0,0,0,9,9,31,0,0,0,0,0,11,57,0,115,1182,3,,,,Liberty,http://www.sports-reference.com/cfb/players/demario-douglas-1.html,40.0,,,,,,,,,,,,,,7.0,109.0,15.6,1.0,2.7,172.0,2193.0,16.0,54.8,179.0,2302.0,12.9,17.0,12.8
213,212,DAL,Deuce Vaughn,RB,21,2024,0,0,0,1,1,14,0,0,0,0,0,40,110,0,10,58,0,,,,Kansas St.,http://www.sports-reference.com/cfb/players/deuce-vaughn-1.html,37.0,,,,,,,,,,,,,,651.0,3604.0,5.5,34.0,97.4,116.0,1280.0,9.0,34.6,767.0,4884.0,6.4,43.0,11.0
216,215,LAR,Zach Evans,RB,22,2023,0,0,0,0,0,10,0,0,0,0,0,9,19,0,0,0,0,,,,Mississippi,http://www.sports-reference.com/cfb/players/zach-evans-1.html,27.0,,,,,,,,,,,,,,290.0,1999.0,6.9,18.0,74.0,30.0,325.0,2.0,12.0,320.0,2324.0,7.3,20.0,10.8
220,219,DET,Antoine Green,WR,23,2023,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,2,0,,,,North Carolina,http://www.sports-reference.com/cfb/players/antoine-green-1.html,47.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,90.0,1710.0,15.0,36.4,90.0,1710.0,19.0,15.0,19.0
221,220,NYJ,Zack Kuntz,TE,24,2024,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Old Dominion,http://www.sports-reference.com/cfb/players/zack-kuntz-1.html,39.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,88.0,862.0,7.0,22.1,88.0,862.0,9.8,7.0,9.8
223,222,MIN,DeWayne McBride,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Ala-Birmingham,http://www.sports-reference.com/cfb/players/dewayne-mcbride-1.html,30.0,,,,,,,,,,,,,,484.0,3523.0,7.3,36.0,117.4,5.0,29.0,0.0,1.0,489.0,3552.0,7.3,36.0,5.8
236,235,GNB,Lew Nichols,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Central Michigan,http://www.sports-reference.com/cfb/players/lew-nichols-1.html,32.0,3.0,3.0,100.0,41.0,0.0,0.0,0.0,0.0,13.7,13.67,13.7,1.3,214.8,614.0,3060.0,5.0,26.0,95.6,71.0,575.0,3.0,18.0,685.0,3635.0,5.3,29.0,8.1
238,237,SEA,Kenny McIntosh,RB,23,2024,0,0,0,1,1,20,0,0,0,0,0,31,172,0,3,22,0,2,,,Georgia,http://www.sports-reference.com/cfb/players/kenny-mcintosh-1.html,48.0,1.0,1.0,100.0,18.0,1.0,100.0,0.0,0.0,18.0,38.0,18.0,0.4,581.2,280.0,1582.0,5.7,16.0,33.0,76.0,861.0,4.0,17.9,356.0,2443.0,6.9,20.0,11.3
240,239,LAC,Max Duggan,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,TCU,http://www.sports-reference.com/cfb/players/max-duggan-1.html,47.0,739.0,1225.0,60.3,9618.0,73.0,6.0,28.0,2.3,7.9,8.01,13.0,204.6,141.4,488.0,1856.0,3.8,28.0,39.5,2.0,1.0,0.0,0.0,490.0,1857.0,3.8,28.0,0.5
245,244,DAL,Jalen Brooks,WR,23,2024,0,0,0,2,2,21,0,0,0,0,0,0,0,0,18,241,1,3,,,South Carolina,http://www.sports-reference.com/cfb/players/jalen-brooks-2.html,24.0,,,,,,,,,,,,,,4.0,51.0,12.8,1.0,2.1,58.0,785.0,2.0,32.7,62.0,836.0,13.5,3.0,13.5
248,247,SFO,Brayden Willis,TE,23,2024,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,,,Oklahoma,http://www.sports-reference.com/cfb/players/brayden-willis-1.html,58.0,1.0,1.0,100.0,24.0,1.0,100.0,0.0,0.0,24.0,44.0,24.0,0.4,631.6,12.0,25.0,2.1,0.0,0.4,75.0,998.0,13.0,17.2,87.0,1023.0,11.8,13.0,13.3
254,253,SFO,Ronnie Bell,WR,23,2024,0,0,0,1,1,26,0,0,0,0,0,0,0,0,8,90,3,2,,,Michigan,http://www.sports-reference.com/cfb/players/ronnie-bell-3.html,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.0,30.0,3.3,1.0,0.6,145.0,2269.0,9.0,48.3,154.0,2299.0,14.9,10.0,15.6
257,256,GNB,Grant Dubose,WR,22,2024,0,0,0,0,,3,0,0,0,0,0,0,0,0,2,11,0,,,,Charlotte,http://www.sports-reference.com/cfb/players/grant-dubose-1.html,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,18.0,6.0,0.0,0.8,126.0,1684.0,15.0,70.2,129.0,1702.0,13.2,15.0,13.4
